holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,is_holiday,hour,day_of_week,day_name,is_weekend,month,year,day_of_year,week_of_year,quarter,is_morning_rush,is_evening_rush,is_rush_hour,part_of_day,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,temp_celsius,weather_severity,is_severe_weather,is_low_visibility,is_precipitating,is_raining,is_snowing,is_freezing,is_extreme_cold,is_hot,is_overcast,total_precipitation,adverse_conditions_score,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,temp_zscore,temp_minmax,clouds_all_zscore,clouds_all_minmax,total_precipitation_zscore,total_precipitation_minmax,weather_severity_zscore,weather_severity_minmax,congestion_category,congestion_level,is_congested
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,0,9,1,Tuesday,0,10,2012,276,40,4,1,0,1,Morning Peak,Autumn,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,15.13,1,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.5268376030997213,0.673215356928614,-0.10877683069397072,0.4,-0.09934460502695602,0.0,-0.416790114490306,0.1111111111111111,Severe,3,1
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,0,10,1,Tuesday,0,10,2012,276,40,4,0,0,0,Midday,Autumn,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,16.21,1,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.6093107533654394,0.689412117576485,0.7960083993978985,0.75,-0.09934460502695602,0.0,-0.416790114490306,0.1111111111111111,High,2,0
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,0,11,1,Tuesday,0,10,2012,276,40,4,0,0,0,Midday,Autumn,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,16.43,1,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.6261108395306754,0.6927114577084582,1.1837734980086996,0.9,-0.09934460502695602,0.0,-0.416790114490306,0.1111111111111111,High,2,0
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,0,12,1,Tuesday,0,10,2012,276,40,4,0,0,0,Midday,Autumn,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,16.98,1,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.6681110549437718,0.7009598080383924,1.1837734980086996,0.9,-0.09934460502695602,0.0,-0.416790114490306,0.1111111111111111,Severe,3,0
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,0,13,1,Tuesday,0,10,2012,276,40,4,0,0,0,Midday,Autumn,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,17.99,1,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.7452387232478194,0.7161067786442711,0.7960083993978985,0.75,-0.09934460502695602,0.0,-0.416790114490306,0.1111111111111111,High,2,0
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,0,14,1,Tuesday,0,10,2012,276,40,4,0,0,0,Midday,Autumn,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,18.57,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.7895298595016323,0.724805038992202,-1.1169660870820535,0.01,-0.09934460502695602,0.0,-0.7846901056893002,0.0,Severe,3,0
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,0,15,1,Tuesday,0,10,2012,276,40,4,0,1,1,Evening Peak,Autumn,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,20.02,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9002577001361562,0.746550689862028,-1.1169660870820535,0.01,-0.09934460502695602,0.0,-0.7846901056893002,0.0,Severe,3,1
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,0,16,1,Tuesday,0,10,2012,276,40,4,0,1,1,Evening Peak,Autumn,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,20.71,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9529488794725851,0.7568986202759451,-1.1169660870820535,0.01,-0.09934460502695602,0.0,-0.7846901056893002,0.0,Severe,3,1
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,0,17,1,Tuesday,0,10,2012,276,40,4,0,1,1,Evening Peak,Autumn,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,20.99,1,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.9743308073192498,0.7610977804439112,-0.6257969621750388,0.2,-0.09934460502695602,0.0,-0.416790114490306,0.1111111111111111,Severe,3,1
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,0,18,1,Tuesday,0,10,2012,276,40,4,0,1,1,Evening Peak,Autumn,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,19.95,1,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.8949122181744901,0.7455008998200364,-0.6257969621750388,0.2,-0.09934460502695602,0.0,-0.416790114490306,0.1111111111111111,High,2,0
