2026-09-14 13:21:27 | INFO     | __main__               | ########################################################################
2026-09-14 13:21:27 | INFO     | __main__               | Capstone Part 2 — traffic data pipeline starting
2026-09-14 13:21:27 | INFO     | __main__               | Input: /home/sora/smart-city-traffic-capstone/data/raw/Metro_Interstate_Traffic_Volume.csv
2026-09-14 13:21:27 | INFO     | __main__               | Output: /home/sora/smart-city-traffic-capstone/data/processed/traffic_clean.csv
2026-09-14 13:21:27 | INFO     | __main__               | Console level: INFO
2026-09-14 13:21:27 | INFO     | __main__               | ########################################################################
2026-09-14 13:21:27 | INFO     | __main__               | ========================================================================
2026-09-14 13:21:27 | INFO     | __main__               | STAGE: Loading raw data
2026-09-14 13:21:27 | INFO     | __main__               | ========================================================================
2026-09-14 13:21:27 | INFO     | __main__               | Raw file loaded successfully from Metro_Interstate_Traffic_Volume.csv — 48,204 rows, 9 columns
2026-09-14 13:21:27 | DEBUG    | __main__               | Columns as loaded: ['holiday', 'temp', 'rain_1h', 'snow_1h', 'clouds_all', 'weather_main', 'weather_description', 'date_time', 'traffic_volume']
2026-09-14 13:21:27 | DEBUG    | __main__               | Dtypes as loaded: {'holiday': <StringDtype(na_value=nan)>, 'temp': dtype('float64'), 'rain_1h': dtype('float64'), 'snow_1h': dtype('float64'), 'clouds_all': dtype('int64'), 'weather_main': <StringDtype(na_value=nan)>, 'weather_description': <StringDtype(na_value=nan)>, 'date_time': <StringDtype(na_value=nan)>, 'traffic_volume': dtype('int64')}
2026-09-14 13:21:27 | DEBUG    | __main__               | Memory footprint: 5.13 MB
2026-09-14 13:21:27 | INFO     | __main__               | ========================================================================
2026-09-14 13:21:27 | INFO     | __main__               | STAGE: Schema validation
2026-09-14 13:21:27 | INFO     | __main__               | ========================================================================
2026-09-14 13:21:27 | INFO     | __main__               | All 9 required columns are present
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'holiday' validated as text
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'temp' validated as float
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'rain_1h' validated as float
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'snow_1h' validated as float
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'clouds_all' validated as integer
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'weather_main' validated as text
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'weather_description' validated as text
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'date_time' validated as text
2026-09-14 13:21:27 | DEBUG    | __main__               | Column 'traffic_volume' validated as integer
2026-09-14 13:21:27 | INFO     | __main__               | Schema validation passed — 48,204 rows ready for cleaning
2026-09-14 13:21:27 | INFO     | __main__               | ========================================================================
2026-09-14 13:21:27 | INFO     | __main__               | STAGE: Data cleaning
2026-09-14 13:21:27 | INFO     | __main__               | ========================================================================
2026-09-14 13:21:27 | INFO     | __main__               | Cleaning step 1 — 'weather_main' already consistent, no changes (trimmed and title-cased)
2026-09-14 13:21:27 | WARNING  | __main__               | Cleaning step 1 — standardised 1,730 value(s) in 'weather_description' (trimmed and lower-cased)
2026-09-14 13:21:27 | INFO     | __main__               | Cleaning step 1 — 'holiday' already consistent, no changes (trimmed)
2026-09-14 13:21:27 | INFO     | __main__               | Cleaning step 1 — derived 'is_holiday': 61 holiday-labelled row(s), 48,143 non-holiday row(s)
2026-09-14 13:21:27 | DEBUG    | __main__               | Holiday labels present: ['Christmas Day', 'Columbus Day', 'Independence Day', 'Labor Day', 'Martin Luther King Jr Day', 'Memorial Day', 'New Years Day', 'State Fair', 'Thanksgiving Day', 'Veterans Day', 'Washingtons Birthday']
2026-09-14 13:21:27 | INFO     | __main__               | Cleaning step 2 — all 48,204 timestamp(s) parsed successfully
